,id,key,badges,banned,bio,blocked,comments,datatype,followed,user_followers,user_following,following,human,integration,isFollowingYou,joined,lastseents,likes,media,muted,pendingFollow,posts,private,profilePhoto,rss,state,userid,username,verified,verifiedComments,username_length,error_code,error_desc,error_details
394,f00f69543aca414fb9578fae01090168,f00f69543aca414fb9578fae01090168,[],False,God family county....my 2 boys mean everything to me and my lovely wife. Self proclaimed proud boy LOVE MY COUNTRY,False,5.0,user_profile,False,2.0,32.0,32.0,False,False,False,11/16/20 22:40,2020-12-21 07:17:22.857011 UTC,5.0,0.0,False,False,39.0,False,b74ffc2ba402498d8841de3070504ae6,False,1.0,f00f69543aca414fb9578fae01090168,Roeder,False,False,6,200,account exists,
395,4cfd590d04f248f68cf4ed64b0786243,4cfd590d04f248f68cf4ed64b0786243,[],False,Republican Conservative Proud Boy,False,0.0,user_profile,False,2.0,52.0,52.0,False,False,False,11/25/20 20:39,2020-12-20 09:12:46.004981 UTC,0.0,0.0,False,False,1.0,False,,False,1.0,4cfd590d04f248f68cf4ed64b0786243,Robininthehood,False,False,14,200,account exists,
398,28771c28683f4e58ba9c6e31a82a4cc4,28771c28683f4e58ba9c6e31a82a4cc4,[],False,America first. Proud Boy. Traditionalist.,False,1.0,user_profile,False,9.0,33.0,33.0,False,False,False,9/27/19 23:12,2020-12-22 08:06:31.830018 UTC,14.0,0.0,False,False,1.0,False,999ad4749ffe4838b36154ce11b1c611,False,,28771c28683f4e58ba9c6e31a82a4cc4,bozo93,False,False,6,200,account exists,
401,e3dcb2ff2f7646eea172c8a163e6685d,e3dcb2ff2f7646eea172c8a163e6685d,[],False,Broker/Realtor with Century21 The Combs Company. Happily married wife and proud boy mom!,False,0.0,user_profile,False,8.0,8.0,8.0,False,False,False,11/8/20 2:29,2020-12-20 14:22:56.863235 UTC,0.0,0.0,False,False,1.0,False,c020d809477747d0a9187bcfd44660cc,False,1.0,e3dcb2ff2f7646eea172c8a163e6685d,stevirobinson,False,False,13,200,account exists,
408,bab98c5618c34125986f5a8a941025dc,bab98c5618c34125986f5a8a941025dc,[],False,Proud Boys Halifax,False,0.0,user_profile,False,10.0,14.0,14.0,False,False,False,7/6/20 5:12,2020-12-22 11:09:40.152057 UTC,0.0,0.0,False,False,1.0,False,,False,,bab98c5618c34125986f5a8a941025dc,Normanator69,False,False,12,200,account exists,
409,04ec45bc20d24c8faf06b593209d6da7,04ec45bc20d24c8faf06b593209d6da7,[],False,"Homo liberal proud boy ��️‍����

Bring it on, snowflakes ��",False,19.0,user_profile,False,10.0,26.0,26.0,False,False,False,11/9/20 23:07,2021-01-11 06:09:24.776545 UTC,33.0,1.0,False,False,17.0,False,,False,1.0,04ec45bc20d24c8faf06b593209d6da7,EzraW,False,False,5,200,account exists,
415,4eb51447ffd144c0b59ceb6b45eae10e,4eb51447ffd144c0b59ceb6b45eae10e,[],False,"Patriot⚔️
Cuban American 
 Proud Boys 
 |||%☠️��‍☠️��������",False,397.0,user_profile,False,420.0,122.0,122.0,False,False,False,6/25/20 12:40,2020-12-21 09:51:14.138051 UTC,534.0,61.0,False,False,276.0,False,c619d444f2cb494e99d1a4ec56313273,False,,4eb51447ffd144c0b59ceb6b45eae10e,Exilio,False,False,6,200,account exists,
416,5d0bfc2ec6df48faa84bbe8cb7bd7629,5d0bfc2ec6df48faa84bbe8cb7bd7629,[],False,"I stand for the US flag, free speech, 2A rights, anti-racism, limited government and an immigration system that works for US citizens. I stand with Tommy Robinson, Milo Yiannopoulos. the Proud Boys and Roger Stone. #maga ",False,41.0,user_profile,False,103.0,131.0,131.0,False,False,False,5/29/19 23:46,2020-12-20 21:20:30.260249 UTC,185.0,0.0,False,False,43.0,False,0287f4bf2aa44d39909e7aab01442316,False,,5d0bfc2ec6df48faa84bbe8cb7bd7629,Rogueprincess,False,False,13,200,account exists,
417,c78f9f52150e4531909eff8e4f3d8811,c78f9f52150e4531909eff8e4f3d8811,[],False,3rd° Proud Boy. Former President of the Kentucky chapter.,False,12.0,user_profile,False,50.0,125.0,125.0,False,False,False,7/1/20 23:04,2020-12-22 04:35:22.878947 UTC,43.0,14.0,False,False,76.0,False,c5cc5e6a1760479990f4edc22322ba8e,False,,c78f9f52150e4531909eff8e4f3d8811,TheGodfather420,False,False,15,200,account exists,
418,2311448602e5d4d70bba61b4d0f95fab,2311448602e5d4d70bba61b4d0f95fab,[0],False,"I’m a Proud, Western Propagandist who Refuses to Apologize for Creating Awesome T-Shirts...and Podcasts. 

CEO, FAT ENZO
HOST, Bobby Pickles’ Podcast ™️
4th Degree PROUD BOY",False,228.0,user_profile,False,2800.0,339.0,339.0,True,False,False,12/14/18 21:03,2020-12-22 13:48:48.604567 UTC,461.0,30.0,False,False,137.0,False,ff163e7443894dcb96456f14f55c22a0,False,,2311448602e5d4d70bba61b4d0f95fab,Bobbypickles,False,False,12,200,account exists,
420,019db814da73464d92c65d25dcf807ec,019db814da73464d92c65d25dcf807ec,[],False,65 Bitter Trump Supporter Will engage for Freedom #StopTheSteal#MAGA#TRUMP2020#PROUDBOYS#AntifaSucks#SupportTroops#BackTheBlue,False,441.0,user_profile,False,1700.0,2200.0,2200.0,False,False,False,11/16/20 14:08,2020-12-20 20:30:31.57003 UTC,15000.0,0.0,False,False,302.0,False,5343700225c149848cf2a5f568cbc246,False,1.0,019db814da73464d92c65d25dcf807ec,JackTheToad,False,False,11,200,account exists,
422,46e911284cf84e5c86f4759070d7d81b,46e911284cf84e5c86f4759070d7d81b,[],False,"Proudboy fighting against Antifa and all the anti-facists snowflakes! 

Heroes: Trump, Benito, Oswald Mosley,Hannity and Szálasi. Pro Fascism and antiAntifa! Jk,I’m here 2 expose rightwing extremists.",False,8300.0,user_profile,False,1600.0,4600.0,4600.0,False,False,False,11/8/20 21:45,2021-01-11 06:53:41.326251 UTC,263.0,7.0,False,False,54.0,False,36c2fd136af44a309597493c749a2c28,False,1.0,46e911284cf84e5c86f4759070d7d81b,Goper,False,False,5,200,account exists,
424,db4a0a2530f14dc78b23bea6d4d347bb,db4a0a2530f14dc78b23bea6d4d347bb,[],False,"Veteran IT Pro, amatuer business man starting up independent tech company. A father and proud Black/Latino American.#NYProudBoyz",False,136.0,user_profile,False,59.0,52.0,52.0,False,False,False,7/2/20 7:34,2020-12-22 08:55:24.559112 UTC,116.0,10.0,False,False,58.0,False,8f8d9c4c60e9471ca3b5e8c077253272,False,,db4a0a2530f14dc78b23bea6d4d347bb,NovelSIn,False,False,8,200,account exists,
428,92e52f488fe248f8b4649de6a2b24a1e,92e52f488fe248f8b4649de6a2b24a1e,[],False,"God first ���� Follower of Christ ✝️ Proud Deplorable ��, Veteran
Conservative, Retired, Proud Boys Sup, #NRA, #Veteran #Patriot #Conservative #TrumpSupporter #MAGA #KAG #ProLife! #ProHomeschool",False,948.0,user_profile,False,13000.0,14000.0,14000.0,False,False,False,5/29/19 23:10,2020-12-22 14:34:53.309405 UTC,6600.0,1400.0,False,False,9900.0,False,bd714f3503d841c7a2ceaead7119ea45,False,,92e52f488fe248f8b4649de6a2b24a1e,Will25,False,False,6,200,account exists,
432,8e86f7bfee9749a6b93ec4a93f56965d,8e86f7bfee9749a6b93ec4a93f56965d,[0],False,"3rd° proudboy. Northwest Ohio, Southeast Michigan",False,12.0,user_profile,False,187.0,202.0,202.0,True,False,False,6/27/20 12:58,2020-12-20 18:04:26.709267 UTC,66.0,12.0,False,False,28.0,False,0069af11ed964494ac6d85eee4083045,False,,8e86f7bfee9749a6b93ec4a93f56965d,BasedgodJon,False,False,11,200,account exists,
433,f83bf697af314c7cb2d81dbf4aa6c178,f83bf697af314c7cb2d81dbf4aa6c178,[0],False,"I am a Conservative Independent who supports our Constitution, all Patriots, Our Troops and our Country. I also support President Trump, the Patriots, Qanon and the Proud Boys.We need a new MAGA Party",False,611.0,user_profile,False,345.0,545.0,545.0,True,False,False,11/10/20 19:06,2020-12-20 07:20:55.480798 UTC,974.0,3.0,False,False,146.0,False,c182bb95842c4315ac94548f4b3e7ef5,False,1.0,f83bf697af314c7cb2d81dbf4aa6c178,Kman2020,False,False,8,200,account exists,
434,2add1bdac7afae7e40cc934816895d27,2add1bdac7afae7e40cc934816895d27,"[9, 0]",False,Est. 1943. Minister of Enlightenment and Propeganda. OathKeeper NRA CCW #KAG #MAGA #QAnon #Twexit #ProudBoys - Original @PARLER Influencer - - Banned on Twitter -,False,326.0,user_profile,False,3600.0,4100.0,4100.0,True,False,False,12/11/18 15:54,2020-12-21 05:01:26.244424 UTC,2500.0,237.0,False,False,3300.0,False,8a5618416bef4e4689422119dbea4612,False,,2add1bdac7afae7e40cc934816895d27,Jimmyvegas,False,False,10,200,account exists,
435,2add1bdac7afae7e40cc934816895d27,2add1bdac7afae7e40cc934816895d27,"[9, 0]",False,Est. 1943. Minister of Enlightenment and Propeganda. OathKeeper NRA CCW #KAG #MAGA #QAnon #Twexit #ProudBoys - Original @PARLER Influencer - - Banned on Twitter -,False,326.0,user_profile,False,3600.0,4100.0,4100.0,True,False,False,12/11/18 15:54,2020-12-21 05:01:26.244424 UTC,2500.0,237.0,False,False,3300.0,False,8a5618416bef4e4689422119dbea4612,False,,2add1bdac7afae7e40cc934816895d27,Jimmyvegas,False,False,10,200,account exists,
436,2add1bdac7afae7e40cc934816895d27,2add1bdac7afae7e40cc934816895d27,"[9, 0]",False,Est. 1943. Minister of Enlightenment and Propeganda. OathKeeper NRA CCW #KAG #MAGA #QAnon #Twexit #ProudBoys - Original @PARLER Influencer - - Banned on Twitter -,False,326.0,user_profile,False,3600.0,4100.0,4100.0,True,False,False,12/11/18 15:54,2020-12-21 05:01:26.244424 UTC,2500.0,237.0,False,False,3300.0,False,8a5618416bef4e4689422119dbea4612,False,,2add1bdac7afae7e40cc934816895d27,Jimmyvegas,False,False,10,200,account exists,
437,2add1bdac7afae7e40cc934816895d27,2add1bdac7afae7e40cc934816895d27,"[9, 0]",False,Est. 1943. Minister of Enlightenment and Propeganda. OathKeeper NRA CCW #KAG #MAGA #QAnon #Twexit #ProudBoys - Original @PARLER Influencer - - Banned on Twitter -,False,326.0,user_profile,False,3600.0,4100.0,4100.0,True,False,False,12/11/18 15:54,2020-12-21 05:01:26.244424 UTC,2500.0,237.0,False,False,3300.0,False,8a5618416bef4e4689422119dbea4612,False,,2add1bdac7afae7e40cc934816895d27,Jimmyvegas,False,False,10,200,account exists,
446,689be088eab34bd59c870d279320a2f8,689be088eab34bd59c870d279320a2f8,[0],False,"4th degree Ohio •Proud Boy• “veteran” of the battle of Honda in the War for Kalamazoo and Battle of the Porta Johns at the Capital in Lansing, Michigan, remember remember the 14th of November -FAFO",False,121.0,user_profile,False,304.0,178.0,178.0,True,False,False,6/26/20 11:42,2020-12-21 17:52:58.000812 UTC,477.0,98.0,False,False,317.0,False,1d61f73b247f47edbac2689883d048b8,False,,689be088eab34bd59c870d279320a2f8,Basedredpill,False,False,12,200,account exists,
448,8b836d25c55f4c00ad88c05cfdb7c526,8b836d25c55f4c00ad88c05cfdb7c526,[],False,"TRADITIONAL CATHOLIC,PATRIOT REPUBLICAN ,FAITHFUL TRUMP SUPPORT,2ND AMENDMENT FIGHTER
FOR OUR DEMOCRACY AND PRESIDENT TRUMP ,VETERAN WIFE AND MOTHER OF A PRICELESS YOUNG BOY ❤️ AND PROUD BOYS SUPP..",False,54.0,user_profile,False,66.0,108.0,108.0,False,False,False,11/9/20 5:47,2020-12-22 15:04:09.049382 UTC,482.0,0.0,False,False,126.0,False,8e70ff27944d4ca483e7774e8be0a2ba,False,1.0,8b836d25c55f4c00ad88c05cfdb7c526,HOFF18,False,False,6,200,account exists,
451,1cf8d985012144c4a053e97a7836fd21,1cf8d985012144c4a053e97a7836fd21,[0],False,Panhandle Florida Proudboys Official Parler Account.,False,1.0,user_profile,False,495.0,509.0,509.0,True,False,False,5/31/19 18:51,2020-12-20 18:55:40.464098 UTC,35.0,0.0,False,False,33.0,False,88b5c6e82c2c415e9d95450b58ae93d1,False,,1cf8d985012144c4a053e97a7836fd21,PFPB,False,False,4,200,account exists,
456,e513fccb724f48428527745a48d8ba20,e513fccb724f48428527745a48d8ba20,[0],False,"Proud Boy supporter
Boogaloo Boi
Oathkeeper supporter
III%er",False,27.0,user_profile,False,28.0,77.0,77.0,True,False,False,10/15/20 3:30,2020-12-23 17:06:20.720202 UTC,105.0,8.0,False,False,40.0,False,12c1f7165c954cd3959339a72772031b,False,1.0,e513fccb724f48428527745a48d8ba20,TheCaptian,False,False,10,200,account exists,
457,e513fccb724f48428527745a48d8ba20,e513fccb724f48428527745a48d8ba20,[0],False,"Proud Boy supporter
Boogaloo Boi
Oathkeeper supporter
III%er",False,27.0,user_profile,False,28.0,77.0,77.0,True,False,False,10/15/20 3:30,2020-12-23 17:06:20.720202 UTC,105.0,8.0,False,False,40.0,False,12c1f7165c954cd3959339a72772031b,False,1.0,e513fccb724f48428527745a48d8ba20,TheCaptian,False,False,10,200,account exists,
458,e513fccb724f48428527745a48d8ba20,e513fccb724f48428527745a48d8ba20,[0],False,"Proud Boy supporter
Boogaloo Boi
Oathkeeper supporter
III%er",False,27.0,user_profile,False,28.0,77.0,77.0,True,False,False,10/15/20 3:30,2020-12-23 17:06:20.720202 UTC,105.0,8.0,False,False,40.0,False,12c1f7165c954cd3959339a72772031b,False,1.0,e513fccb724f48428527745a48d8ba20,TheCaptian,False,False,10,200,account exists,
459,e513fccb724f48428527745a48d8ba20,e513fccb724f48428527745a48d8ba20,[0],False,"Proud Boy supporter
Boogaloo Boi
Oathkeeper supporter
III%er",False,27.0,user_profile,False,28.0,77.0,77.0,True,False,False,10/15/20 3:30,2020-12-23 17:06:20.720202 UTC,105.0,8.0,False,False,40.0,False,12c1f7165c954cd3959339a72772031b,False,1.0,e513fccb724f48428527745a48d8ba20,TheCaptian,False,False,10,200,account exists,
460,e513fccb724f48428527745a48d8ba20,e513fccb724f48428527745a48d8ba20,[0],False,"Proud Boy supporter
Boogaloo Boi
Oathkeeper supporter
III%er",False,27.0,user_profile,False,28.0,77.0,77.0,True,False,False,10/15/20 3:30,2020-12-23 17:06:20.720202 UTC,105.0,8.0,False,False,40.0,False,12c1f7165c954cd3959339a72772031b,False,1.0,e513fccb724f48428527745a48d8ba20,TheCaptian,False,False,10,200,account exists,
461,e513fccb724f48428527745a48d8ba20,e513fccb724f48428527745a48d8ba20,[0],False,"Proud Boy supporter
Boogaloo Boi
Oathkeeper supporter
III%er",False,27.0,user_profile,False,28.0,77.0,77.0,True,False,False,10/15/20 3:30,2020-12-23 17:06:20.720202 UTC,105.0,8.0,False,False,40.0,False,12c1f7165c954cd3959339a72772031b,False,1.0,e513fccb724f48428527745a48d8ba20,TheCaptian,False,False,10,200,account exists,
462,e513fccb724f48428527745a48d8ba20,e513fccb724f48428527745a48d8ba20,[0],False,"Proud Boy supporter
Boogaloo Boi
Oathkeeper supporter
III%er",False,27.0,user_profile,False,28.0,77.0,77.0,True,False,False,10/15/20 3:30,2020-12-23 17:06:20.720202 UTC,105.0,8.0,False,False,40.0,False,12c1f7165c954cd3959339a72772031b,False,1.0,e513fccb724f48428527745a48d8ba20,TheCaptian,False,False,10,200,account exists,
463,e513fccb724f48428527745a48d8ba20,e513fccb724f48428527745a48d8ba20,[0],False,"Proud Boy supporter
Boogaloo Boi
Oathkeeper supporter
III%er",False,27.0,user_profile,False,28.0,77.0,77.0,True,False,False,10/15/20 3:30,2020-12-23 17:06:20.720202 UTC,105.0,8.0,False,False,40.0,False,12c1f7165c954cd3959339a72772031b,False,1.0,e513fccb724f48428527745a48d8ba20,TheCaptian,False,False,10,200,account exists,
464,e513fccb724f48428527745a48d8ba20,e513fccb724f48428527745a48d8ba20,[0],False,"Proud Boy supporter
Boogaloo Boi
Oathkeeper supporter
III%er",False,27.0,user_profile,False,28.0,77.0,77.0,True,False,False,10/15/20 3:30,2020-12-23 17:06:20.720202 UTC,105.0,8.0,False,False,40.0,False,12c1f7165c954cd3959339a72772031b,False,1.0,e513fccb724f48428527745a48d8ba20,TheCaptian,False,False,10,200,account exists,
465,1aec8e168c354861a1053c4443d612ab,1aec8e168c354861a1053c4443d612ab,[],False,President of the St. Louis Proud Boys,False,4.0,user_profile,False,120.0,56.0,56.0,False,False,False,6/7/19 23:06,2020-12-22 03:05:40.960766 UTC,159.0,0.0,False,False,23.0,False,2b75f2ccd38a48edb2cb40645a3aafdd,False,,1aec8e168c354861a1053c4443d612ab,mikelasater,False,False,11,200,account exists,
467,a0a3523574a94ca3abfe741c8eef363b,a0a3523574a94ca3abfe741c8eef363b,[],False,New Yorker. Western Chauvanist. Proud Boy. Jewish. Uhuru!,False,2.0,user_profile,False,76.0,152.0,152.0,False,False,False,6/4/19 2:45,2021-01-10 16:17:54.070744 UTC,15.0,0.0,False,False,5.0,False,66b349948fe843abb9f7a90ac2bc2b48,False,,a0a3523574a94ca3abfe741c8eef363b,NYProudFellow,False,False,13,200,account exists,
468,c2c036c354ae406b9ba6df49215c01cd,c2c036c354ae406b9ba6df49215c01cd,[0],False,"• Disavowed Proud Boy 4th Degree

• Proud Western Chauvinist
• President Trump Supporter
• Devout Pat Buchanan Disciple
• Recovering White Nationalist",False,119.0,user_profile,False,208.0,249.0,249.0,True,False,False,9/30/20 18:04,2020-12-21 00:47:30.609974 UTC,621.0,0.0,False,False,3.0,False,1c2e31f30e864ecc8ef80fe8f291c247,False,1.0,c2c036c354ae406b9ba6df49215c01cd,RobbieJones,False,False,11,200,account exists,
472,b33443c53e554f8c95927823a73e8f60,b33443c53e554f8c95927823a73e8f60,[0],False,"(Proud Western chauvinist) 
We are the new counter culture we are the Proud Boys, The answer to 1984 is 1776 Uhuru proud of your boy 
 ��������✝️",False,25.0,user_profile,False,49.0,23.0,23.0,True,False,False,11/22/20 20:18,2020-12-22 04:48:16.380375 UTC,39.0,11.0,False,False,47.0,False,42d2a17f9bac46af87951a2c4673aa29,False,1.0,b33443c53e554f8c95927823a73e8f60,Starofthenorth,False,False,14,200,account exists,
476,53790f5679504334b9eef27ba85e59b4,53790f5679504334b9eef27ba85e59b4,[],False,"The OFFICIAL and ONLY social media account for Springfield, Ohio's own CHAMPION CITY PROUD BOYS.",False,4.0,user_profile,False,21.0,12.0,12.0,False,False,False,1/6/21 23:37,2021-01-08 06:40:34.575733 UTC,67.0,1.0,False,False,6.0,False,275e3f7e5c554819976502653c4b29bb,False,1.0,53790f5679504334b9eef27ba85e59b4,ChampPB,False,False,7,200,account exists,
478,3f0418750929425cb7dc19df9f415fec,3f0418750929425cb7dc19df9f415fec,[],False,Christian American married to a Christian European. Sharing truth of God’s Word and truth of American Discourse. Longtime listener of Gavin Mcinnes and soon to be Proud Boy.,False,10.0,user_profile,False,21.0,16.0,16.0,False,False,False,10/22/19 17:31,2020-12-20 04:20:25.290948 UTC,38.0,14.0,False,False,45.0,False,ad368587209a4083bdebbe498cd718da,False,,3f0418750929425cb7dc19df9f415fec,sethwilson,False,False,10,200,account exists,
479,d61e9c78e0ab4b3f915f688f97828fd8,d61e9c78e0ab4b3f915f688f97828fd8,[],False,I am the only double agent in both the Proud Boys and Antifa,False,433.0,user_profile,False,86.0,19.0,19.0,False,False,False,11/12/20 19:02,2020-12-20 14:39:06.86814 UTC,4.0,0.0,False,False,6.0,False,,False,1.0,d61e9c78e0ab4b3f915f688f97828fd8,RealTrumpNews,False,False,13,200,account exists,
482,47c4b7923cdc477da28f372549291d94,47c4b7923cdc477da28f372549291d94,[4],False,"US Army Vet
 
 Proud Boy",False,,user_profile,False,,,,False,False,False,11/15/20 23:10,2020-12-20 10:07:04.373298 UTC,,,False,False,,True,5e97c04a2eb44e8c89af5d89e501c870,False,1.0,47c4b7923cdc477da28f372549291d94,Steamy,False,False,6,200,account exists,
486,2b91d1c84e964dde8df2a4d2736bfcc4,2b91d1c84e964dde8df2a4d2736bfcc4,[],False,"Love God, my Family and My country!!! A proud conservative Republican. God bless the USA. Love OUR President DONALD J. TRUMP��������. A proud boy mama to Tripp❤",False,0.0,user_profile,False,0.0,12.0,12.0,False,False,False,11/21/20 0:34,2020-12-22 01:28:41.89489 UTC,0.0,0.0,False,False,5.0,False,a34c5d9755e342f399ca3e71c45dc7bd,False,1.0,2b91d1c84e964dde8df2a4d2736bfcc4,Meamea1018,False,False,10,200,account exists,
492,69a18135b50b4491ad4f0ed519627bdd,69a18135b50b4491ad4f0ed519627bdd,[],False,Proud Boys HVNY 2nd Degree,False,0.0,user_profile,False,4.0,17.0,17.0,False,False,False,12/16/20 10:02,2021-01-08 03:56:17.971306 UTC,1.0,0.0,False,False,13.0,False,33f9f020ad704612b477e42daf6b23bf,False,1.0,69a18135b50b4491ad4f0ed519627bdd,MiniPB,False,False,6,200,account exists,
494,9359109810b64269964e6af04848f87a,9359109810b64269964e6af04848f87a,[],False,#Trump2020Patriots #WWG1WGA #TrumpTrain #2A #III% #ProudBoysKY Don't Tread on Me! I'll die with boots on flying the Confederate flag for our Christian Nation! - Theoretical Structural Engineer (ret),False,12.0,user_profile,False,12.0,21.0,21.0,False,False,False,11/20/20 1:23,2020-12-20 09:35:31.089271 UTC,13.0,2.0,False,False,7.0,False,8e0d364880b0440abf69649d8c322ae8,False,1.0,9359109810b64269964e6af04848f87a,FreedomWeasel,False,False,13,200,account exists,
495,6bb3fdb60c554d37a2bd1a06fb3cc8ce,6bb3fdb60c554d37a2bd1a06fb3cc8ce,[],False,"Father, Patriot, Proud Boy, Outdoorsman",False,1.0,user_profile,False,11.0,79.0,79.0,False,False,False,9/17/20 14:31,2020-12-21 18:15:14.001278 UTC,115.0,1.0,False,False,19.0,False,68ba27e5658c43a2b9a2f1e0b5542f02,False,1.0,6bb3fdb60c554d37a2bd1a06fb3cc8ce,mongo3,False,False,6,200,account exists,
497,eed5b58e8eda405ab083c0626de2a4f1,eed5b58e8eda405ab083c0626de2a4f1,[],False,UNITED STATES NAVY VETERAN! TEXAS THREE PERCENTERS ZONE 5/ RGV PROUDBOYS,False,1.0,user_profile,False,10.0,53.0,53.0,False,False,False,11/17/20 20:27,2020-12-21 08:21:03.650232 UTC,10.0,2.0,False,False,5.0,False,d3be0d2b886e435a8a95fde17e99b09e,False,1.0,eed5b58e8eda405ab083c0626de2a4f1,ALPHA007,False,False,8,200,account exists,
498,eed5b58e8eda405ab083c0626de2a4f1,eed5b58e8eda405ab083c0626de2a4f1,[],False,UNITED STATES NAVY VETERAN! TEXAS THREE PERCENTERS ZONE 5/ RGV PROUDBOYS,False,1.0,user_profile,False,10.0,53.0,53.0,False,False,False,11/17/20 20:27,2020-12-21 08:21:03.650232 UTC,10.0,2.0,False,False,5.0,False,d3be0d2b886e435a8a95fde17e99b09e,False,1.0,eed5b58e8eda405ab083c0626de2a4f1,ALPHA007,False,False,8,200,account exists,
499,eed5b58e8eda405ab083c0626de2a4f1,eed5b58e8eda405ab083c0626de2a4f1,[],False,UNITED STATES NAVY VETERAN! TEXAS THREE PERCENTERS ZONE 5/ RGV PROUDBOYS,False,1.0,user_profile,False,10.0,53.0,53.0,False,False,False,11/17/20 20:27,2020-12-21 08:21:03.650232 UTC,10.0,2.0,False,False,5.0,False,d3be0d2b886e435a8a95fde17e99b09e,False,1.0,eed5b58e8eda405ab083c0626de2a4f1,ALPHA007,False,False,8,200,account exists,
500,eed5b58e8eda405ab083c0626de2a4f1,eed5b58e8eda405ab083c0626de2a4f1,[],False,UNITED STATES NAVY VETERAN! TEXAS THREE PERCENTERS ZONE 5/ RGV PROUDBOYS,False,1.0,user_profile,False,10.0,53.0,53.0,False,False,False,11/17/20 20:27,2020-12-21 08:21:03.650232 UTC,10.0,2.0,False,False,5.0,False,d3be0d2b886e435a8a95fde17e99b09e,False,1.0,eed5b58e8eda405ab083c0626de2a4f1,ALPHA007,False,False,8,200,account exists,
501,3fa40622254f44098f169d22497849ab,3fa40622254f44098f169d22497849ab,[],False,"Canadian conservative. Fed up with the left liberal bullshit. Supporter of Maga, proud boys, and real news.",False,0.0,user_profile,False,5.0,34.0,34.0,False,False,False,11/16/20 15:07,2020-12-20 09:45:51.320981 UTC,28.0,0.0,False,False,4.0,False,,False,1.0,3fa40622254f44098f169d22497849ab,Hmarsh101,False,False,9,200,account exists,
502,7108b7c6ba5044649020bcf68aa032c7,7108b7c6ba5044649020bcf68aa032c7,[0],False,"UHURHU
West Virginia Proud Boy
I am a proud western chauvinist and I refuse to apologize for creating the modern world",False,8.0,user_profile,False,5.0,21.0,21.0,True,False,False,11/17/20 3:32,2020-12-21 03:10:35.468864 UTC,14.0,5.0,False,False,31.0,False,8e63d3911c10445f8ced299ff13f2bc1,False,1.0,7108b7c6ba5044649020bcf68aa032c7,DubVee,False,False,6,200,account exists,
504,180724b8a11545df9b2e95a77104f411,180724b8a11545df9b2e95a77104f411,[0],False,"Local. Fearless. Authentic.

Founder of the Florida Proudboys Chapter - 4th Degree

Founder and owner of persimmonherald.com
Activist",False,16.0,user_profile,False,4200.0,632.0,632.0,True,False,False,7/8/20 22:16,2020-12-21 00:22:47.719468 UTC,88.0,10.0,False,False,110.0,False,c25c495c5034401b83b276e25e72299a,False,,180724b8a11545df9b2e95a77104f411,TylerZiolkowski,False,False,15,200,account exists,
509,defd30961725444b82f3d67227e467ac,defd30961725444b82f3d67227e467ac,[0],False,"National President of the American Guard 

Www.americanguard.us 

President of the Brick City Proud Boys (Indianapolis)
 American Constitutional Nationalist4th degree SPLC alumniCivnat Silverback",False,52.0,user_profile,False,597.0,343.0,343.0,True,False,False,6/8/19 18:55,2020-12-21 17:54:02.96475 UTC,154.0,48.0,False,False,196.0,False,13f410d9882c4d7f84a5351afe242761,False,,defd30961725444b82f3d67227e467ac,Brienjames,False,False,10,200,account exists,
512,1e85399f1be445829521f3e3e7036740,1e85399f1be445829521f3e3e7036740,[],False,"I’m a born again Christian , bull rider , US ARMY VET , AND A TRUMP SUPPORTER . AND AVID MMA FIGHTER 
ALSO A PROUD BOY. LAS VEGAS CHAPTER",False,69.0,user_profile,False,616.0,513.0,513.0,False,False,False,6/30/20 1:37,2020-12-20 18:11:12.265614 UTC,4300.0,0.0,False,False,4100.0,False,93bf2cb16ae847b689aa1b2606f01d6f,False,,1e85399f1be445829521f3e3e7036740,Istalion,False,False,8,200,account exists,
521,ac84b6d586ff473fa220ff729d340d67,ac84b6d586ff473fa220ff729d340d67,[],False,"Commie Hunting Proud Boy
If you see me charging at you, that moment is a good one to find Christ.",False,9.0,user_profile,False,16.0,54.0,54.0,False,False,False,11/6/20 1:24,2020-12-20 09:07:49.4418 UTC,16.0,1.0,False,False,49.0,False,470d5e834ae14269991f43e86940f32e,False,1.0,ac84b6d586ff473fa220ff729d340d67,Juice24,False,False,7,200,account exists,
526,23f3976fc7744e5285c01f1cc4ea2972,23f3976fc7744e5285c01f1cc4ea2972,[0],False,"Chapter President - Columbus Proud Boys, Vice-Chairman of the Ohio Elder’s Council.
Be a man among men. Join us! Contact columbus-proudboys@protonmail.com or go to proudboysusa.com",False,65.0,user_profile,False,79.0,93.0,93.0,True,False,False,7/1/20 21:11,2020-12-21 01:24:41.743038 UTC,131.0,8.0,False,False,66.0,False,ba07af1b194e4466917f41e4ba81e0f1,False,,23f3976fc7744e5285c01f1cc4ea2972,MalEvolent,False,False,10,200,account exists,
530,40b5c4bc302b43e0bc3b6457c7e8953c,40b5c4bc302b43e0bc3b6457c7e8953c,[],False,"Patriot, loves POTUS 45, no white guilt, hates Hollywood, MAGA���������������� RecallNewsom!! PROUDBOYS!!!",False,666.0,user_profile,False,3200.0,3100.0,3100.0,False,False,False,5/31/19 2:25,2021-01-09 07:34:18.432986 UTC,17000.0,1.0,False,False,3700.0,False,f3ce1c3f2fa54abcb4a2336854ed1a75,False,,40b5c4bc302b43e0bc3b6457c7e8953c,Witchspawn,False,False,10,200,account exists,
