username,error_code,bio,metrics,followers_count,following_count,tweet_count,,,,,,,,,
Kman2020,200,I love to race tandem bikes!,"{'followers_count': 2, 'following_count': 7, 'tweet_count': 10, 'listed_count': 0}",2,7,0,,,,,,,,,
Jimmyvegas,200,Good Neighbor-Bad Golfer,"{'followers_count': 1444, 'following_count': 2474, 'tweet_count': 8145, 'listed_count': 54}",1444,2474,54,,,,,,,,,
Basedredpill,200,happy and healthy living is the key to life,"{'followers_count': 4, 'following_count': 6, 'tweet_count': 44, 'listed_count': 0}",4,6,0,,,,,,,,,
HOFF18,200,"H.E. Pennypacker a wealthy industrialist, philanthropist and...bicyclist. Oh yes, I buy and sell people like yourself every day. -Cosmo Kramer","{'followers_count': 123, 'following_count': 138, 'tweet_count': 258, 'listed_count': 0}",123,138,0,,,,,,,,,
PFPB,200,,"{'followers_count': 4, 'following_count': 4, 'tweet_count': 0, 'listed_count': 0}",4,4,0,,,,,,,,,
TheCaptian,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 2, 'listed_count': 0}",0,0,0,,,,,,,,,
mikelasater,200,"I front a band called Black Vista Highway Patrol. Music is literally all I care about, so I wouldn't recommend myself as a person. I'm awful at being a person.","{'followers_count': 2, 'following_count': 10, 'tweet_count': 1, 'listed_count': 0}",2,10,0,,,,,,,,,
NYProudFellow,200,CivNat Trumpist. My pronouns are boogboi/boogbois. Retweets without comment are endorsements.,"{'followers_count': 66, 'following_count': 264, 'tweet_count': 1431, 'listed_count': 1}",66,264,1,,,,,,,,,
RobbieJones,200,,"{'followers_count': 18, 'following_count': 3, 'tweet_count': 3, 'listed_count': 0}",18,3,0,,,,,,,,,
Starofthenorth,200,,"{'followers_count': 4, 'following_count': 3, 'tweet_count': 6, 'listed_count': 0}",4,3,0,,,,,,,,,
ChampPB,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
sethwilson,200,"Cool dad, web developer working in IT, hockey coach, Apple fanboy and weekend warrior","{'followers_count': 73, 'following_count': 97, 'tweet_count': 122, 'listed_count': 1}",73,97,1,,,,,,,,,
RealTrumpNews,200,UR THOUGHTS BECOME THINGS！TALK POSITIVE！ACT POSITIVE！ALWAYS REMEMBER POSITIVE HV POWER！ALWAYS B POSITIVE,"{'followers_count': 476, 'following_count': 35, 'tweet_count': 1409, 'listed_count': 1}",476,35,1,,,,,,,,,
Steamy,200,,"{'followers_count': 10, 'following_count': 0, 'tweet_count': 1, 'listed_count': 1}",10,0,1,,,,,,,,,
Meamea1018,200,,"{'followers_count': 6, 'following_count': 7, 'tweet_count': 270, 'listed_count': 0}",6,7,0,,,,,,,,,
MiniPB,200,,"{'followers_count': 2, 'following_count': 18, 'tweet_count': 6, 'listed_count': 0}",2,18,0,,,,,,,,,
FreedomWeasel,200,"I like pigeons, sustainable transport and data in that order","{'followers_count': 21, 'following_count': 178, 'tweet_count': 70, 'listed_count': 0}",21,178,0,,,,,,,,,
mongo3,200,,"{'followers_count': 8, 'following_count': 5, 'tweet_count': 12, 'listed_count': 0}",8,5,0,,,,,,,,,
ALPHA007,200,,"{'followers_count': 57, 'following_count': 320, 'tweet_count': 7, 'listed_count': 0}",57,320,0,,,,,,,,,
Hmarsh101,200,,"{'followers_count': 4, 'following_count': 206, 'tweet_count': 0, 'listed_count': 0}",4,206,0,,,,,,,,,
DubVee,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",0,1,0,,,,,,,,,
TylerZiolkowski,200,,"{'followers_count': 17, 'following_count': 39, 'tweet_count': 1, 'listed_count': 0}",17,39,0,,,,,,,,,
Brienjames,200,,"{'followers_count': 14, 'following_count': 264, 'tweet_count': 2, 'listed_count': 1}",14,264,1,,,,,,,,,
Istalion,200,,"{'followers_count': 1, 'following_count': 17, 'tweet_count': 1, 'listed_count': 0}",1,17,0,,,,,,,,,
Juice24,200,,"{'followers_count': 5, 'following_count': 35, 'tweet_count': 1, 'listed_count': 0}",5,35,0,,,,,,,,,
MalEvolent,200,how about...not?,"{'followers_count': 10, 'following_count': 0, 'tweet_count': 1, 'listed_count': 0}",10,0,0,,,,,,,,,
Witchspawn,200,the lil orchid cubbyhole!,"{'followers_count': 28, 'following_count': 47, 'tweet_count': 19488, 'listed_count': 0}",28,47,0,,,,,,,,,
Theskyeisfallin,200,.....,"{'followers_count': 314, 'following_count': 1571, 'tweet_count': 5, 'listed_count': 2}",314,1571,2,,,,,,,,,
MagaKorean,200,,"{'followers_count': 16, 'following_count': 92, 'tweet_count': 6, 'listed_count': 0}",16,92,0,,,,,,,,,
Wulf22,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 5, 'listed_count': 0}",0,0,0,,,,,,,,,
MsMuddy,200,,"{'followers_count': 3, 'following_count': 76, 'tweet_count': 2, 'listed_count': 0}",3,76,0,,,,,,,,,
Blankenship70L,200,,"{'followers_count': 1, 'following_count': 9, 'tweet_count': 0, 'listed_count': 0}",1,9,0,,,,,,,,,
BrotherT,200,"Born -49, Now happy retired.","{'followers_count': 93, 'following_count': 228, 'tweet_count': 41, 'listed_count': 0}",93,228,0,,,,,,,,,
amazing2017,200,,"{'followers_count': 1, 'following_count': 25, 'tweet_count': 4, 'listed_count': 0}",1,25,0,,,,,,,,,
Orgen,200,Mas de mas,"{'followers_count': 87, 'following_count': 102, 'tweet_count': 2589, 'listed_count': 1}",87,102,1,,,,,,,,,
AzizaMcwhirter,200,#WifeMomDaughterSisterFriend  #SeintMakeupArtist #BelizeanHotelier #ElBenCabanas,"{'followers_count': 3, 'following_count': 89, 'tweet_count': 395, 'listed_count': 0}",3,89,0,,,,,,,,,
Puryear,200,,"{'followers_count': 0, 'following_count': 3, 'tweet_count': 0, 'listed_count': 2}",0,3,2,,,,,,,,,
MasterAutoTech,200,Bob's training by Mercedes Benz USA over the course of three decades has been kept up to date with recent ASA and World Pac sponsored training.,"{'followers_count': 42, 'following_count': 0, 'tweet_count': 324, 'listed_count': 2}",42,0,2,,,,,,,,,
PorkScrew,200,,"{'followers_count': 1, 'following_count': 2, 'tweet_count': 1, 'listed_count': 0}",1,2,0,,,,,,,,,
FreshSpeech,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 7, 'listed_count': 0}",0,0,0,,,,,,,,,
CalebGarrison,200,"Love to be outdoors on my bike, snowboard, or hitting the trails.","{'followers_count': 47, 'following_count': 167, 'tweet_count': 1243, 'listed_count': 0}",47,167,0,,,,,,,,,
PBNYC,200,,"{'followers_count': 8, 'following_count': 6, 'tweet_count': 24, 'listed_count': 0}",8,6,0,,,,,,,,,
Proudgirls,200,PROUDgirls. Passionate. Respectful. Outstanding. Unstoppable. Dedicated. Giving. Inspiring. Resourceful. Leaders. PROUD of who we are. We Live BIG and Give BIG.,"{'followers_count': 650, 'following_count': 1111, 'tweet_count': 1775, 'listed_count': 15}",650,1111,15,,,,,,,,,
ProAm,200,The 38th Annual Tapemark Charity Pro-Am Golf Tournament,"{'followers_count': 55, 'following_count': 68, 'tweet_count': 108, 'listed_count': 2}",55,68,2,,,,,,,,,
BlueLady1,200,"conservitive, 63 yr. old female,  forced into retirement by lay-off bored to death and learning to explore the Internet.","{'followers_count': 3, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",3,0,0,,,,,,,,,
Skunkbeard,200,,"{'followers_count': 5, 'following_count': 26, 'tweet_count': 0, 'listed_count': 0}",5,26,0,,,,,,,,,
Jaysinsr,200,,"{'followers_count': 9, 'following_count': 119, 'tweet_count': 133, 'listed_count': 1}",9,119,1,,,,,,,,,
markmandato,200,Any re-tweets / notes are mine and do not reflect those of my employer. There is no experience in the second kick from the mule. #RedPill Matt 6:27,"{'followers_count': 87, 'following_count': 357, 'tweet_count': 1770, 'listed_count': 2}",87,357,2,,,,,,,,,
Big12Gauge,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 3, 'listed_count': 0}",0,0,0,,,,,,,,,
Buddhiadikari,200,,"{'followers_count': 0, 'following_count': 10, 'tweet_count': 0, 'listed_count': 0}",0,10,0,,,,,,,,,
Xco360,200,I came wit a strong focus to smack yo niggis like locust...........,"{'followers_count': 217, 'following_count': 323, 'tweet_count': 2408, 'listed_count': 0}",217,323,0,,,,,,,,,
skystrength88,200,,"{'followers_count': 0, 'following_count': 7, 'tweet_count': 8, 'listed_count': 0}",0,7,0,,,,,,,,,
Cicisugar,200,,"{'followers_count': 11, 'following_count': 2, 'tweet_count': 0, 'listed_count': 0}",11,2,0,,,,,,,,,
DanielHoch,200,,"{'followers_count': 3, 'following_count': 4, 'tweet_count': 0, 'listed_count': 0}",3,4,0,,,,,,,,,
Trump2020bitch,200,Fuck the Liberal ALT-Left!! fuckers!!!,"{'followers_count': 6, 'following_count': 7, 'tweet_count': 13, 'listed_count': 0}",6,7,0,,,,,,,,,
Trucker0172,200,,"{'followers_count': 2, 'following_count': 21, 'tweet_count': 68, 'listed_count': 0}",2,21,0,,,,,,,,,
ChimiChonga,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
Joker1776,200,ｱｸﾃｨﾌﾞと見せかけて無気力系社会人……基本雑食。 UK/弓道/APH/ﾎﾘﾐﾔ/ﾊﾘﾎﾟﾀ/Emma Watson/有川浩/向井理/天海祐希/堀北真希/BUMP/RAD/サンホラ/椎名林檎/日向坂46/欅坂46… since 18.6.1,"{'followers_count': 93, 'following_count': 294, 'tweet_count': 7429, 'listed_count': 1}",93,294,1,,,,,,,,,
Citrushandyman,200,Kraycar's Handyman Service is a name that you can trust. Home Repairs and House Painting in Citrus County.  Licensed & Insured,"{'followers_count': 480, 'following_count': 0, 'tweet_count': 3, 'listed_count': 0}",480,0,0,,,,,,,,,
PrillyM,200,,"{'followers_count': 2, 'following_count': 20, 'tweet_count': 0, 'listed_count': 0}",2,20,0,,,,,,,,,
justagrrrl,200,"goyim but lover of jewish people, the strongest and most brilliant of all peoples. Member of LGBT","{'followers_count': 10, 'following_count': 99, 'tweet_count': 109, 'listed_count': 0}",10,99,0,,,,,,,,,
somberlainnn,200,I'm a bit of a cunt really,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Yorkshireman 1st, Englishman 2nd, British 3rd, European never",somberlainnn,"{'followers_count': 10, 'following_count': 481, 'tweet_count': 165, 'listed_count': 0}",481,0,,,,,,,,,,,
ROYLM,200,Bruh/Moment,"{'followers_count': 1, 'following_count': 28, 'tweet_count': 8, 'listed_count': 0}",1,28,0,,,,,,,,,
BushrodJohnson,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
ThrustJohnson,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
DivineRedeemer,200,Just Say No To Socialism!,,,,,,,,,,,,,
Patriot AF!,DivineRedeemer,"{'followers_count': 51, 'following_count': 184, 'tweet_count': 1687, 'listed_count': 0}",184,0,,,,,,,,,,,
BigRedWhiteBlue,200,,"{'followers_count': 2, 'following_count': 3, 'tweet_count': 0, 'listed_count': 0}",2,3,0,,,,,,,,,
FairyGodmum,200,,"{'followers_count': 4, 'following_count': 0, 'tweet_count': 1, 'listed_count': 0}",4,0,0,,,,,,,,,
BadKity,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 1, 'listed_count': 0}",0,1,0,,,,,,,,,
jackieboy,200,,"{'followers_count': 44, 'following_count': 4, 'tweet_count': 71, 'listed_count': 0}",44,4,0,,,,,,,,,
elchapo1,200,,"{'followers_count': 0, 'following_count': 9, 'tweet_count': 2, 'listed_count': 0}",0,9,0,,,,,,,,,
StayZeroed,200,,"{'followers_count': 6, 'following_count': 17, 'tweet_count': 3, 'listed_count': 0}",6,17,0,,,,,,,,,
magamichigan,200,,"{'followers_count': 3, 'following_count': 1, 'tweet_count': 25, 'listed_count': 0}",3,1,0,,,,,,,,,
redPILLrebel,200,I stand for the justice and against the oppression of The People. Find beauty in the flames. #ShutItDown,"{'followers_count': 9, 'following_count': 22, 'tweet_count': 546, 'listed_count': 1}",9,22,1,,,,,,,,,
Tuckerd67,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
jenna711,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 1, 'listed_count': 0}",0,0,0,,,,,,,,,
Voodoo1809,200,Texan. Libertarian. Fisherman. #AmericanWorker #DontTreadOnMe,"{'followers_count': 26, 'following_count': 348, 'tweet_count': 163, 'listed_count': 1}",26,348,1,,,,,,,,,
ForLoveOfGod,200,Love Life,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 5, 'listed_count': 0}",0,0,0,,,,,,,,,
slickbeard,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 1583, 'listed_count': 0}",1,0,0,,,,,,,,,
Katy420,200,,"{'followers_count': 0, 'following_count': 2, 'tweet_count': 1, 'listed_count': 0}",0,2,0,,,,,,,,,
TooBusy,200,selam olsun yetişmemde(!!!) emeği geçen herkeZe,"{'followers_count': 6, 'following_count': 617, 'tweet_count': 244, 'listed_count': 1}",6,617,1,,,,,,,,,
Lisajoi,200,,"{'followers_count': 1, 'following_count': 7, 'tweet_count': 1, 'listed_count': 0}",1,7,0,,,,,,,,,
Ktone89,200,For god and country !  Proud american and Proud Father !  FAFO! Trump conservative!,"{'followers_count': 14, 'following_count': 55, 'tweet_count': 96, 'listed_count': 0}",14,55,0,,,,,,,,,
CNeely,200,,"{'followers_count': 30, 'following_count': 110, 'tweet_count': 4, 'listed_count': 0}",30,110,0,,,,,,,,,
Richmath,200,,"{'followers_count': 14, 'following_count': 251, 'tweet_count': 75, 'listed_count': 0}",14,251,0,,,,,,,,,
Hairangel01,200,,"{'followers_count': 3, 'following_count': 5, 'tweet_count': 2, 'listed_count': 0}",3,5,0,,,,,,,,,
Fleursy,200,,"{'followers_count': 2, 'following_count': 2, 'tweet_count': 0, 'listed_count': 0}",2,2,0,,,,,,,,,
DickSweats,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",0,1,0,,,,,,,,,
JAM89,200,,"{'followers_count': 5, 'following_count': 17, 'tweet_count': 0, 'listed_count': 0}",5,17,0,,,,,,,,,
GhostsQueen,200,,"{'followers_count': 3, 'following_count': 7, 'tweet_count': 8, 'listed_count': 0}",3,7,0,,,,,,,,,
rjwatt,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
TeckTonik,200,,"{'followers_count': 1775, 'following_count': 0, 'tweet_count': 0, 'listed_count': 21}",1775,0,21,,,,,,,,,
CntryBoy,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 1, 'listed_count': 0}",1,0,0,,,,,,,,,
buddyxgoon,200,I hate it here,"{'followers_count': 167, 'following_count': 307, 'tweet_count': 5852, 'listed_count': 2}",167,307,2,,,,,,,,,
ProjectMayhem,200,I'm a nerd who owns too much mac stuff!,"{'followers_count': 6, 'following_count': 5, 'tweet_count': 0, 'listed_count': 1}",6,5,1,,,,,,,,,
BridgetteMM,200,,"{'followers_count': 1, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",1,1,0,,,,,,,,,
Chuclawood1,200,,"{'followers_count': 11, 'following_count': 58, 'tweet_count': 477, 'listed_count': 1}",11,58,1,,,,,,,,,
VeryVerySincere,200,,"{'followers_count': 3, 'following_count': 0, 'tweet_count': 6, 'listed_count': 0}",3,0,0,,,,,,,,,
Jodiebaxter,200,,"{'followers_count': 0, 'following_count': 9, 'tweet_count': 9, 'listed_count': 0}",0,9,0,,,,,,,,,
Madmarz1,200,,"{'followers_count': 6, 'following_count': 21, 'tweet_count': 47, 'listed_count': 0}",6,21,0,,,,,,,,,
DAnsley,200,,"{'followers_count': 26, 'following_count': 39, 'tweet_count': 28, 'listed_count': 0}",26,39,0,,,,,,,,,
NickyFryman,200,,"{'followers_count': 11, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",11,0,0,,,,,,,,,
raw24,200,H.B.K ♞,"{'followers_count': 157, 'following_count': 725, 'tweet_count': 595, 'listed_count': 0}",157,725,0,,,,,,,,,
VersaceCowboy,200,"Creator of Living Art, Custom Design Build Outdoor Living Areas for over 25 years. Artist, father, cowboy","{'followers_count': 24, 'following_count': 23, 'tweet_count': 146, 'listed_count': 1}",24,23,1,,,,,,,,,
Deaded,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 10, 'listed_count': 1}",0,1,1,,,,,,,,,
Marygaandmaro,200,,"{'followers_count': 11, 'following_count': 155, 'tweet_count': 99, 'listed_count': 0}",11,155,0,,,,,,,,,
Comming4U,200,,"{'followers_count': 1, 'following_count': 21, 'tweet_count': 1, 'listed_count': 0}",1,21,0,,,,,,,,,
CjRoach,200,,"{'followers_count': 134, 'following_count': 66, 'tweet_count': 617, 'listed_count': 0}",134,66,0,,,,,,,,,
jeakins,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 1, 'listed_count': 0}",0,1,0,,,,,,,,,
JeffDahmer,200,Jeffrey Dahmer has gone down in history as one of the most gruesome serial killers to ever come out of the American Midwest.,"{'followers_count': 260, 'following_count': 703, 'tweet_count': 89, 'listed_count': 2}",260,703,2,,,,,,,,,
Slick66,200,,"{'followers_count': 4, 'following_count': 1, 'tweet_count': 6, 'listed_count': 0}",4,1,0,,,,,,,,,
HornedTiger,200,"✨💫 moss • he/him • nsfw artist • 18+ account • very, very kinky • constantly horny • taking commissions","{'followers_count': 5, 'following_count': 37, 'tweet_count': 1, 'listed_count': 0}",5,37,0,,,,,,,,,
PixieBug,200,,"{'followers_count': 28, 'following_count': 296, 'tweet_count': 557, 'listed_count': 0}",28,296,0,,,,,,,,,
DickHolliday,200,,"{'followers_count': 4, 'following_count': 22, 'tweet_count': 0, 'listed_count': 0}",4,22,0,,,,,,,,,
JDC43,200,,"{'followers_count': 1, 'following_count': 3, 'tweet_count': 0, 'listed_count': 0}",1,3,0,,,,,,,,,
Moose40,200,"Scottish person, wine drinker, food eater, life lover......","{'followers_count': 167, 'following_count': 367, 'tweet_count': 4512, 'listed_count': 12}",167,367,12,,,,,,,,,
TonyPatriot,200,Not special. Just an American with true American values. lifetime conservative and proud U S Army Veteran.,"{'followers_count': 68, 'following_count': 170, 'tweet_count': 270, 'listed_count': 0}",68,170,0,,,,,,,,,
jams13,200,,"{'followers_count': 6, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",6,0,0,,,,,,,,,
starrynight1,200,,"{'followers_count': 33, 'following_count': 75, 'tweet_count': 166, 'listed_count': 2}",33,75,2,,,,,,,,,
KineticWarrior,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
Sdh31873,200,,"{'followers_count': 5, 'following_count': 2, 'tweet_count': 19, 'listed_count': 0}",5,2,0,,,,,,,,,
Pepridge,200,Big hitter... long. Advisor to C Level and Hollywood executive types. I am proficient in one language and drive a 2003 Honda mini van.,"{'followers_count': 0, 'following_count': 2, 'tweet_count': 0, 'listed_count': 0}",0,2,0,,,,,,,,,
Petersann8,200,,"{'followers_count': 3, 'following_count': 0, 'tweet_count': 65, 'listed_count': 0}",3,0,0,,,,,,,,,
RickMc1,200,Also Winning!!!,"{'followers_count': 5, 'following_count': 2, 'tweet_count': 25, 'listed_count': 0}",5,2,0,,,,,,,,,
Sheogorath,200,bitches be shoppin,"{'followers_count': 39, 'following_count': 58, 'tweet_count': 12434, 'listed_count': 0}",39,58,0,,,,,,,,,
catfishbilly3,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 9, 'listed_count': 0}",0,1,0,,,,,,,,,
AntiCuck,200,Musings of a #Hotwife Hubby ~ Mature Content (21+) ~ #teamwifewatchers ~ Loving @Hotwifemia ~ OurHotLife@gmail.com,"{'followers_count': 411, 'following_count': 286, 'tweet_count': 166, 'listed_count': 3}",411,286,3,,,,,,,,,
xxINFIDELxx,200,love an worship black pussy love incest love girls getting knotted,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 101, 'listed_count': 0}",1,0,0,,,,,,,,,
TOApatriot,200,"An American Patriot, Authentic natural-born citizen of the Greatest Nation the World has ever seen! Unquestionably from the people and for the people!","{'followers_count': 1, 'following_count': 52, 'tweet_count': 42, 'listed_count': 0}",1,52,0,,,,,,,,,
RealPB,200,"Growth+social commerce. Leading mktg campaigns @newengen for brands like Patagonia, LA Clippers, Google. Prev: @okcthunder @cbs @gossipgirl Advisor:@BytebaseApp","{'followers_count': 5215, 'following_count': 1320, 'tweet_count': 25852, 'listed_count': 212}",5215,1320,212,,,,,,,,,
Bealstom,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 3, 'listed_count': 0}",0,0,0,,,,,,,,,
MB1164,200,I tell it like it is.,,,,,,,,,,,,,
Army brat of Brigader General,,,,,,,,,,,,,,,
"PK-Pastor Kid, ISTANDWITHTRUMP.",,,,,,,,,,,,,,,
LOVE THE BEACH FAVORITE BEACH GULF SHORES AL. Nick name CATWOMAN,MB1164,"{'followers_count': 2954, 'following_count': 3403, 'tweet_count': 33025, 'listed_count': 1}",3403,1,,,,,,,,,,,
LarryDollaz,200,$$$$$$$,"{'followers_count': 873, 'following_count': 10, 'tweet_count': 10, 'listed_count': 4}",873,10,4,,,,,,,,,
Standingdown,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
HollowPointz,200,,"{'followers_count': 4, 'following_count': 4, 'tweet_count': 0, 'listed_count': 0}",4,4,0,,,,,,,,,
JENNAHGADE,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 24, 'listed_count': 0}",1,0,0,,,,,,,,,
Dmanaus,200,"o mundo só existe pessoas lindas,não tenha vergonha de mostrar a sua beleza,pois Deus não comete erros,você é perfeito(a)","{'followers_count': 48, 'following_count': 206, 'tweet_count': 74, 'listed_count': 0}",48,206,0,,,,,,,,,
turner333,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
Nixmehrfrei,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
Dionhinze,200,,"{'followers_count': 0, 'following_count': 4, 'tweet_count': 0, 'listed_count': 0}",0,4,0,,,,,,,,,
mannhammer,200,,"{'followers_count': 3, 'following_count': 0, 'tweet_count': 2, 'listed_count': 0}",3,0,0,,,,,,,,,
Worc2,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
guttergirl,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 1, 'listed_count': 0}",1,0,0,,,,,,,,,
FrankF45,200,,"{'followers_count': 3, 'following_count': 0, 'tweet_count': 5, 'listed_count': 0}",3,0,0,,,,,,,,,
mmcglothen,200,,"{'followers_count': 0, 'following_count': 3, 'tweet_count': 1, 'listed_count': 0}",0,3,0,,,,,,,,,
Jbeau66,200,,"{'followers_count': 1, 'following_count': 27, 'tweet_count': 0, 'listed_count': 0}",1,27,0,,,,,,,,,
DarkArisen,200,,"{'followers_count': 0, 'following_count': 3, 'tweet_count': 7, 'listed_count': 0}",0,3,0,,,,,,,,,
straycat527,200,- PROUD AMERICAN #MAGA #NRA #2A #USA,"{'followers_count': 12, 'following_count': 20, 'tweet_count': 31, 'listed_count': 0}",12,20,0,,,,,,,,,
MsLovett,200,God fearing Woman!  Follow @ChefIndiaco A Chef brand that offers culinary services with a passion of making food accessible and new experiences approachable.,"{'followers_count': 2530, 'following_count': 2456, 'tweet_count': 57889, 'listed_count': 39}",2530,2456,39,,,,,,,,,
ApexLead,200,,"{'followers_count': 3, 'following_count': 1, 'tweet_count': 6, 'listed_count': 0}",3,1,0,,,,,,,,,
SANDSMUSIC,200,OFFICIAL SIRENS & SAILORS TWITTER!,"{'followers_count': 8863, 'following_count': 548, 'tweet_count': 22044, 'listed_count': 48}",8863,548,48,,,,,,,,,
Joeyd1421,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 14, 'listed_count': 0}",1,0,0,,,,,,,,,
EddieblockFilms,200,Just a man with a camera,"{'followers_count': 8, 'following_count': 22, 'tweet_count': 68, 'listed_count': 0}",8,22,0,,,,,,,,,
RoseAR15,200,B*TCH,"{'followers_count': 0, 'following_count': 29, 'tweet_count': 9, 'listed_count': 0}",0,29,0,,,,,,,,,
cthulhufox,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",0,1,0,,,,,,,,,
Mightymouseone,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
Soupjackson,200,,"{'followers_count': 3, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",3,0,0,,,,,,,,,
Patlee9,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
Karenmarie30,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",0,1,0,,,,,,,,,
ImmortalRipper,200,“𝑰’𝒍𝒍 𝒃𝒆 𝒕𝒉𝒆 𝒇𝒊𝒓𝒔𝒕 𝒕𝒐 𝒑𝒖𝒕 𝒎𝒚 𝒉𝒂𝒏𝒅𝒔 𝒂𝒓𝒐𝒖𝒏𝒅 𝒚𝒐𝒖𝒓 𝒕𝒉𝒓𝒐𝒂𝒕... @BladedLaurels (his throne).” Not affiliated @SupergiantGames.,"{'followers_count': 733, 'following_count': 721, 'tweet_count': 6659, 'listed_count': 4}",733,721,4,,,,,,,,,
LadySwan,200,,"{'followers_count': 2, 'following_count': 21, 'tweet_count': 1, 'listed_count': 0}",2,21,0,,,,,,,,,
RodWallace,200,On an unexpected journey.,"{'followers_count': 51, 'following_count': 128, 'tweet_count': 682, 'listed_count': 3}",51,128,3,,,,,,,,,
JPOYB,200,,"{'followers_count': 0, 'following_count': 28, 'tweet_count': 0, 'listed_count': 0}",0,28,0,,,,,,,,,
Cincy32,200,,"{'followers_count': 0, 'following_count': 5, 'tweet_count': 0, 'listed_count': 0}",0,5,0,,,,,,,,,
BRhodes45,200,,"{'followers_count': 1, 'following_count': 10, 'tweet_count': 0, 'listed_count': 0}",1,10,0,,,,,,,,,
Cchudd,200,,"{'followers_count': 9, 'following_count': 18, 'tweet_count': 581, 'listed_count': 0}",9,18,0,,,,,,,,,
SuzzanneMonk,200,"Stand Up Comedian, Radio Pundit, Writer, Actress, Funny Lady - Dedicated to Truth, Justice and Laughter","{'followers_count': 738, 'following_count': 0, 'tweet_count': 6218, 'listed_count': 33}",738,0,33,,,,,,,,,
cheezedic,200,,"{'followers_count': 1, 'following_count': 13, 'tweet_count': 2, 'listed_count': 0}",1,13,0,,,,,,,,,
Tjmurtha,200,,"{'followers_count': 4, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",4,0,0,,,,,,,,,
BearMace,200,Building the frontiers of behavioral finance.,"{'followers_count': 1919, 'following_count': 1381, 'tweet_count': 4035, 'listed_count': 10}",1919,1381,10,,,,,,,,,
ChunkySamurai,200,,"{'followers_count': 2, 'following_count': 2, 'tweet_count': 0, 'listed_count': 0}",2,2,0,,,,,,,,,
dickschroeder,200,,"{'followers_count': 1, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",1,1,0,,,,,,,,,
ReddotX,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",0,1,0,,,,,,,,,
